iter	Passed	Remaining
0	197	197702
1	206	102911
2	212	70534
3	218	54296
4	223	44458
5	229	37985
6	234	33291
7	240	29808
8	309	34053
9	324	32143
10	328	29573
11	333	27418
12	337	25639
13	355	25012
14	365	23985
15	372	22904
16	391	22648
17	397	21706
18	401	20753
19	407	19957
20	411	19179
21	415	18469
22	419	17812
23	424	17252
24	428	16693
25	432	16185
26	436	15740
27	441	15310
28	445	14902
29	449	14519
30	454	14217
31	458	13879
32	462	13558
33	466	13261
34	474	13090
35	480	12875
36	487	12679
37	492	12459
38	497	12257
39	505	12139
40	512	11994
41	516	11783
42	524	11675
43	528	11488
44	532	11305
45	540	11202
46	543	11030
47	547	10866
48	553	10742
49	557	10598
50	561	10452
51	565	10311
52	572	10221
53	575	10089
54	579	9964
55	585	9871
56	589	9754
57	593	9640
58	597	9530
59	603	9460
60	608	9360
61	611	9257
62	616	9172
63	620	9079
64	624	8986
65	628	8895
66	633	8819
67	637	8734
68	641	8651
69	645	8571
70	649	8501
71	653	8424
72	657	8349
73	661	8277
74	665	8209
75	669	8140
76	673	8073
77	677	8008
78	681	7946
79	685	7881
80	689	7821
81	693	7761
82	697	7711
83	701	7653
84	705	7596
85	709	7541
86	713	7491
87	717	7437
88	721	7384
89	725	7332
90	729	7286
91	733	7236
92	737	7189
93	741	7143
94	745	7102
95	749	7056
96	753	7012
97	757	6968
98	762	6943
99	767	6907
100	771	6866
101	775	6825
102	779	6787
103	783	6747
104	787	6709
105	791	6671
106	795	6635
107	799	6599
108	802	6563
109	806	6528
110	811	6495
111	814	6459
112	818	6426
113	822	6394
114	826	6364
115	830	6331
116	834	6301
117	838	6269
118	842	6239
119	846	6209
120	850	6180
121	854	6150
122	858	6123
123	863	6096
124	867	6075
125	871	6047
126	875	6020
127	879	5994
128	884	5973
129	889	5953
130	894	5933
131	900	5918
132	904	5898
133	910	5881
134	914	5862
135	920	5844
136	925	5827
137	930	5810
138	935	5793
139	964	5923
140	971	5920
141	981	5932
142	991	5940
143	1019	6063
144	1033	6092
145	1047	6126
146	1062	6163
147	1071	6170
148	1080	6170
149	1090	6182
150	1100	6188
151	1113	6210
152	1125	6230
153	1130	6212
154	1136	6198
155	1142	6181
156	1147	6163
157	1158	6173
158	1165	6163
159	1173	6162
160	1179	6148
161	1186	6135
162	1191	6116
163	1197	6105
164	1205	6100
165	1211	6087
166	1218	6078
167	1224	6063
168	1229	6047
169	1235	6034
170	1240	6014
171	1245	5996
172	1251	5983
173	1256	5962
174	1260	5940
175	1266	5927
176	1270	5909
177	1276	5892
178	1282	5880
179	1287	5865
180	1292	5850
181	1297	5833
182	1303	5818
183	1308	5801
184	1315	5793
185	1319	5776
186	1324	5760
187	1331	5749
188	1336	5734
189	1341	5719
190	1348	5712
191	1354	5699
192	1360	5686
193	1365	5674
194	1369	5655
195	1373	5634
196	1377	5615
197	1382	5599
198	1386	5579
199	1389	5559
200	1394	5541
201	1398	5525
202	1402	5507
203	1406	5488
204	1412	5477
205	1417	5465
206	1423	5452
207	1428	5439
