iter	RMSE
0	111398.0395
1	107520.8592
2	103879.1594
3	100587.4655
4	97468.4232
5	94637.59541
6	92094.04148
7	89810.30345
8	87662.21281
9	85708.12314
10	83796.79377
11	82067.32936
12	80456.41915
13	79123.99865
14	77898.98325
15	76820.17697
16	75770.51508
17	74832.5986
18	73855.15939
19	72992.04472
20	72204.86085
21	71516.88735
22	70817.01302
23	70081.96811
24	69545.98985
25	68997.1494
26	68483.29194
27	67996.84644
28	67561.49617
29	67162.94893
30	66771.16902
31	66432.0274
32	66051.40396
33	65760.4445
34	65377.40618
35	65032.36441
36	64745.60886
37	64488.35753
38	64233.8429
39	63991.34172
40	63645.7522
41	63360.82573
42	63097.82742
43	62936.87117
44	62700.02132
45	62375.8107
46	62079.80787
47	61865.83124
48	61620.03217
49	61432.9693
50	61123.23784
51	60783.0277
52	60595.90797
53	60469.07894
54	60297.89022
55	60044.58699
56	59912.61078
57	59698.58303
58	59546.09365
59	59365.38864
60	59238.32152
61	59083.31109
62	58920.49295
63	58746.79184
64	58594.23965
65	58402.22243
66	58168.24007
67	58001.41452
68	57849.56241
69	57727.1482
70	57583.04579
71	57478.05598
72	57243.59505
73	57092.13182
74	56943.12963
75	56832.78615
76	56745.21042
77	56516.87982
78	56445.77476
79	56321.46485
80	56212.03872
81	56074.32277
82	55951.55016
83	55872.79555
84	55792.3422
85	55689.59231
86	55589.17305
87	55498.72195
88	55420.47306
89	55327.7317
90	55230.88165
91	55124.50786
92	55063.31847
93	54993.56406
94	54893.76402
95	54800.68317
96	54698.49245
97	54615.02675
98	54541.48838
99	54436.88546
100	54376.84752
101	54310.48216
102	54250.14485
103	54191.98663
104	54087.72019
105	54025.42427
106	53982.88564
107	53911.43107
108	53820.20873
109	53755.2974
110	53705.90142
111	53616.34914
112	53550.07888
113	53473.39469
114	53388.97374
115	53230.71643
116	53178.31789
117	53061.0603
118	52964.38992
119	52892.7216
120	52830.67911
121	52760.84992
122	52703.3868
123	52655.37786
124	52566.10264
125	52517.96994
126	52435.1628
127	52381.72873
128	52310.00419
129	52244.00603
130	52169.27419
131	52077.35824
132	52036.50342
133	51981.77904
134	51927.6473
135	51880.20252
136	51802.45691
137	51745.67971
138	51679.11703
139	51637.65404
140	51578.49468
141	51539.93594
142	51489.07664
143	51422.55017
144	51385.26892
145	51357.63821
146	51253.71319
147	51208.84265
