iter	Passed	Remaining
0	190	190546
1	196	97909
2	200	66700
3	206	51485
4	212	42235
5	217	36012
6	228	32418
7	233	29012
8	240	26534
9	246	24405
10	253	22778
11	258	21295
12	264	20061
13	277	19517
14	282	18558
15	288	17753
16	294	17040
17	301	16474
18	311	16091
19	322	15803
20	328	15331
21	337	15005
22	342	14562
23	352	14322
24	357	13939
25	362	13586
26	367	13256
27	372	12924
28	376	12613
29	382	12363
30	386	12094
31	391	11838
32	397	11648
33	406	11540
34	416	11471
35	420	11262
36	424	11060
37	431	10911
38	435	10729
39	439	10552
40	445	10414
41	460	10504
42	468	10436
43	475	10334
44	480	10197
45	486	10089
46	490	9955
47	495	9825
48	500	9704
49	506	9614
50	512	9536
51	520	9482
52	526	9401
53	531	9314
54	539	9262
55	544	9186
56	555	9194
57	561	9115
58	567	9045
59	572	8972
60	578	8906
61	584	8838
62	590	8784
63	595	8710
64	601	8650
65	607	8594
66	611	8519
67	617	8460
68	622	8404
69	627	8334
70	633	8285
71	639	8238
72	643	8174
73	649	8125
74	655	8080
75	659	8016
76	664	7970
77	670	7927
78	674	7868
79	680	7826
80	684	7770
81	689	7717
82	694	7669
83	699	7625
84	703	7574
85	708	7525
86	713	7490
87	719	7456
88	723	7409
89	729	7377
90	734	7332
91	738	7289
92	743	7251
93	748	7211
94	753	7174
95	757	7136
96	763	7104
97	767	7065
98	772	7027
99	777	7000
100	782	6961
101	786	6923
102	790	6887
103	795	6857
104	800	6822
105	804	6787
106	813	6789
107	818	6763
108	824	6740
109	829	6715
110	834	6686
111	839	6655
112	844	6627
113	848	6597
114	853	6567
115	858	6545
116	863	6516
117	867	6486
118	874	6474
119	880	6457
120	886	6436
121	893	6427
122	898	6406
123	905	6399
124	912	6389
125	918	6367
126	925	6363
127	931	6348
128	939	6342
129	944	6323
130	950	6303
131	957	6297
132	962	6276
133	967	6255
134	978	6268
135	1005	6387
136	1013	6386
137	1023	6391
138	1035	6413
139	1056	6491
140	1074	6548
141	1091	6594
142	1107	6636
143	1126	6693
144	1140	6722
145	1154	6755
146	1171	6797
147	1185	6825
148	1199	6851
149	1216	6895
150	1234	6942
151	1247	6959
152	1263	6995
153	1273	6998
154	1284	7000
155	1290	6984
156	1297	6969
157	1304	6950
158	1310	6929
159	1316	6912
160	1323	6896
161	1328	6873
162	1333	6848
163	1339	6826
164	1343	6800
165	1351	6789
166	1356	6768
167	1364	6758
168	1372	6748
169	1379	6734
170	1387	6727
171	1398	6731
172	1407	6728
173	1415	6717
174	1420	6697
175	1426	6677
176	1434	6668
177	1440	6654
178	1448	6641
179	1453	6621
180	1460	6608
181	1465	6588
182	1471	6568
183	1483	6579
184	1490	6565
185	1497	6554
186	1502	6533
187	1509	6520
188	1516	6506
189	1521	6487
190	1528	6473
191	1533	6453
192	1538	6432
193	1544	6418
194	1551	6402
195	1556	6385
196	1562	6369
197	1567	6349
198	1574	6335
199	1580	6320
200	1586	6306
201	1594	6299
202	1601	6286
203	1609	6279
204	1617	6272
205	1625	6264
206	1629	6244
207	1634	6223
208	1641	6211
209	1646	6192
210	1650	6172
211	1657	6160
212	1663	6146
213	1672	6142
214	1678	6126
215	1683	6110
216	1690	6099
217	1696	6084
218	1701	6068
219	1711	6069
220	1718	6056
221	1724	6042
222	1729	6027
223	1736	6015
224	1742	6000
225	1747	5986
226	1755	5978
227	1761	5962
228	1766	5948
229	1773	5935
230	1778	5920
231	1784	5907
232	1791	5895
233	1796	5880
234	1803	5871
235	1808	5855
236	1813	5839
237	1821	5831
238	1828	5821
239	1834	5810
240	1839	5794
241	1845	5780
242	1852	5771
243	1858	5758
244	1863	5744
245	1870	5732
246	1875	5717
247	1881	5703
248	1886	5689
249	1893	5679
250	1899	5669
251	1905	5655
252	1910	5641
253	1917	5631
254	1923	5618
255	1928	5606
256	1936	5597
257	1941	5584
258	1949	5576
259	1955	5565
260	1966	5566
261	1972	5555
262	1979	5546
263	1985	5534
264	1991	5523
265	1999	5516
266	2004	5503
267	2011	5494
268	2020	5491
269	2027	5481
270	2033	5470
271	2038	5457
272	2048	5453
273	2055	5445
274	2062	5436
275	2067	5424
276	2073	5412
277	2080	5402
278	2085	5389
279	2091	5377
280	2097	5365
281	2102	5353
282	2108	5342
283	2114	5331
284	2120	5318
285	2126	5308
286	2131	5296
287	2137	5284
288	2144	5275
289	2149	5263
290	2155	5251
291	2163	5246
292	2169	5234
293	2175	5225
294	2181	5213
295	2187	5201
296	2193	5192
297	2199	5181
298	2205	5170
299	2210	5156
300	2214	5143
301	2219	5129
302	2225	5118
303	2229	5104
304	2234	5091
305	2239	5079
306	2244	5065
307	2248	5051
308	2253	5039
309	2258	5026
310	2262	5013
311	2267	4999
312	2272	4988
313	2278	4977
314	2282	4964
315	2288	4953
316	2292	4940
317	2297	4926
318	2301	4914
319	2306	4901
320	2311	4888
321	2315	4875
322	2320	4864
323	2325	4851
324	2329	4839
325	2335	4829
326	2341	4819
327	2347	4808
328	2353	4800
329	2359	4789
330	2363	4777
331	2368	4766
332	2373	4753
333	2377	4740
334	2382	4728
335	2387	4718
336	2392	4707
337	2397	4695
338	2402	4685
339	2407	4672
340	2411	4660
341	2419	4654
342	2424	4644
343	2429	4632
344	2434	4622
345	2439	4610
346	2443	4598
347	2449	4588
348	2453	4576
349	2458	4565
350	2463	4554
351	2467	4543
352	2472	4531
353	2476	4519
354	2482	4510
355	2486	4498
356	2491	4487
357	2497	4478
358	2503	4469
359	2507	4457
360	2512	4447
361	2517	4436
362	2521	4425
363	2526	4413
364	2532	4405
